CMN,area,pop,fam,edf,ulc,bct,area_id_H,area_id_M,area_id_L,area_id_H_p,area_id_M_p,area_id_L_p,pop_id_H,pop_id_M,pop_id_L,pop_id_H_p,pop_id_M_p,pop_id_L_p,fam_id_H,fam_id_M,fam_id_L,fam_id_H_p,fam_id_M_p,fam_id_L_p,edf_id_H,edf_id_M,edf_id_L,edf_id_H_p,edf_id_M_p,edf_id_L_p,ulc_id_H,ulc_id_M,ulc_id_L,ulc_id_H_p,ulc_id_M_p,ulc_id_L_p,bct_id_H,bct_id_M,bct_id_L,bct_id_H_p,bct_id_M_p,bct_id_L_p,area_fr_P4,area_fr_P3,area_fr_P2,area_fr_P1,area_fr_AA,area_fr_P3P4,area_fr_P4_p,area_fr_P3_p,area_fr_P2_p,area_fr_P1_p,area_fr_AA_p,area_fr_P3P4_p,pop_fr_P4,pop_fr_P3,pop_fr_P2,pop_fr_P1,pop_fr_AA,pop_fr_P3P4,pop_fr_P4_p,pop_fr_P3_p,pop_fr_P2_p,pop_fr_P1_p,pop_fr_AA_p,pop_fr_P3P4_p,fam_fr_P4,fam_fr_P3,fam_fr_P2,fam_fr_P1,fam_fr_AA,fam_fr_P3P4,fam_fr_P4_p,fam_fr_P3_p,fam_fr_P2_p,fam_fr_P1_p,fam_fr_AA_p,fam_fr_P3P4_p,edf_fr_P4,edf_fr_P3,edf_fr_P2,edf_fr_P1,edf_fr_AA,edf_fr_P3P4,edf_fr_P4_p,edf_fr_P3_p,edf_fr_P2_p,edf_fr_P1_p,edf_fr_AA_p,edf_fr_P3P4_p,ulc_fr_P4,ulc_fr_P3,ulc_fr_P2,ulc_fr_P1,ulc_fr_AA,ulc_fr_P3P4,ulc_fr_P4_p,ulc_fr_P3_p,ulc_fr_P2_p,ulc_fr_P1_p,ulc_fr_AA_p,ulc_fr_P3P4_p,bct_fr_P4,bct_fr_P3,bct_fr_P2,bct_fr_P1,bct_fr_AA,bct_fr_P3P4,bct_fr_P4_p,bct_fr_P3_p,bct_fr_P2_p,bct_fr_P1_p,bct_fr_AA_p,bct_fr_P3P4_p
1001,131.4011693,2545,1204,1048,176,15,0,0.222,0.912,0,1.689,6.937,0,3,62,0,0.113,2.345,0,1,32,0,0.078,2.498,0,1,26,0,0.095,2.481,0,0,3,0,0,1.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,157.4838277,3633,1515,556,238,6,0,2.992,8.683,0,19.01,55.169,0,22,3695,0,0.576,96.753,0,8,1472,0,0.527,96.906,0,7,503,0,1.259,90.468,0,1,213,0,0.42,89.496,0,0,2,0,0,33.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,463.3690738,459,239,815,51,20,0.888,1.489,1.611,1.917,3.214,3.477,6,116,145,1.299,25.108,31.385,3,57,72,1.304,24.783,31.304,9,206,263,1.104,25.276,32.27,1,13,17,1.961,25.49,33.333,0,5,6,0,25,30,3.247,1.51,0.086,0,0,4.757,7.008,3.259,0.186,0,0,10.267,18,127,8,0,0,145,3.896,27.489,1.732,0,0,31.385,9,62,4,0,0,71,3.913,26.957,1.739,0,0,30.87,26,221,26,0,0,247,3.19,27.117,3.19,0,0,30.307,3,15,0,0,0,18,5.882,29.412,0,0,0,35.294,2,7,0,0,0,9,10,35,0,0,0,45
1004,117.0834653,1638,749,564,139,1,0.093,1.088,2.836,0.793,9.275,24.175,1,7,28,0.056,0.391,1.563,1,3,10,0.128,0.384,1.28,1,2,9,0.177,0.355,1.596,0,0,2,0,0,1.439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,178.9789754,6355,2921,2196,546,13,0,1.266,3.343,0,7.082,18.701,0,649,2395,0,10.297,37.998,0,289,1069,0,10.396,38.453,0,214,757,0,9.745,34.472,0,77,284,0,14.103,52.015,0,1,2,0,7.692,15.385,0,1.18,0.827,0,0,1.18,0,6.601,4.626,0,0,6.601,0,1353,871,0,0,1353,0,21.466,13.819,0,0,21.466,0,601,395,0,0,601,0,21.619,14.209,0,0,21.619,0,424,266,0,0,424,0,19.308,12.113,0,0,19.308,0,154,96,0,0,154,0,28.205,17.582,0,0,28.205,0,4,5,0,0,4,0,30.769,38.462,0,0,30.769
1007,56.22187607,235,144,616,17,0,0.047,0.069,0.069,0.835,1.226,1.226,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.162,0.162,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0.131,0,0,0,0,0.131,2.328,0,0,0,0,2.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0.325,0,0,0,0,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,119.1907048,16484,7571,2325,1244,9,0.928,1.469,2.188,7.786,12.325,18.357,155,290,410,0.918,1.717,2.427,66,124,178,0.901,1.692,2.429,23,52,74,0.989,2.237,3.183,16,32,49,1.286,2.572,3.939,1,1,1,11.111,11.111,11.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,74.87373855,2013,864,635,236,3,0.981,2.646,2.646,13.104,35.346,35.346,176,459,459,8.952,23.347,23.347,72,188,188,9.045,23.618,23.618,60,163,163,9.449,25.669,25.669,23,70,70,9.746,29.661,29.661,0,0,0,0,0,0,0.281,0,0,0,0,0.281,3.754,0,0,0,0,3.754,32,0,0,0,0,32,1.628,0,0,0,0,1.628,13,0,0,0,0,13,1.633,0,0,0,0,1.633,9,0,0,0,0,9,1.417,0,0,0,0,1.417,5,0,0,0,0,5,2.119,0,0,0,0,2.119,0,0,0,0,0,0,0,0,0,0,0,0
1010,93.18554266,488,256,514,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.443,0.001,0,0,0,3.444,36.986,0.011,0,0,0,36.996,21,0,0,0,0,21,4.102,0,0,0,0,4.102,12,0,0,0,0,12,4.461,0,0,0,0,4.461,74,0,0,0,0,74,14.397,0,0,0,0,14.397,2,0,0,0,0,2,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1011,388.5095406,838,414,1080,42,27,0.075,0.206,0.223,0.193,0.53,0.574,2,9,9,0.23,1.034,1.034,1,4,4,0.234,0.935,0.935,3,12,12,0.278,1.111,1.111,0,0,0,0,0,0,0,0,0,0,0,0,1.169,2.366,0.19,0,0,3.535,3.007,6.086,0.489,0,0,9.093,14,4,1,0,0,18,1.609,0.46,0.115,0,0,2.069,7,3,1,0,0,10,1.636,0.701,0.234,0,0,2.336,20,15,4,0,0,35,1.852,1.389,0.37,0,0,3.241,1,0,0,0,0,1,2.381,0,0,0,0,2.381,0,1,0,0,0,1,0,3.704,0,0,0,3.704
