var_id,id_orig,description,label,source,year,risk,level,clevel,measure,metric
CMN,pro_com,Codice ProCom del Comune,,ISTAT,2021,,,,,
area,ar_kmq,Superficie (kmq),,,,,,,,
pop,pop_res011,Popolazione residente (n. ab.),,ISTAT,2020,,,,,
fam,fam_tot,Famiglie (n.),,ISTAT,2020,,,,,
edf,ed_tot,Edifici (n.),,ISTAT,2011,,,,,
ulc,im_tot,Unità Locali (n.),,ISTAT,2011,,,,,
bct,n_vir,Beni Culturali (n.),,ISCR,2021,,,,,
area_id_H,ar_id_p3,Superficie delle aree a pericolosità idraulica elevata (kmq),,ISPRA,2020,Idraulico,Elevato,H,Superficie,conteggio
area_id_M,ar_id_p2,Superficie delle aree a pericolosità idraulica media (kmq),,ISPRA,2020,Idraulico,Medio,M,Superficie,conteggio
area_id_L,ar_id_p1,Superficie delle aree a pericolosità idraulica bassa (kmq),,ISPRA,2020,Idraulico,Basso,L,Superficie,conteggio
area_id_H_p,aridp3_p,Superficie delle aree a pericolosità idraulica elevata (%),,ISPRA,2020,Idraulico,Elevato,H,Superficie,percentuale
area_id_M_p,aridp2_p,Superficie delle aree a pericolosità idraulica media (%),,ISPRA,2020,Idraulico,Medio,M,Superficie,percentuale
area_id_L_p,aridp1_p,Superficie delle aree a pericolosità idraulica bassa (%),,ISPRA,2020,Idraulico,Basso,L,Superficie,percentuale
pop_id_H,pop_idr_p3,Popolazione a rischio in aree a pericolosità idraulica elevata (n. ab.),,ISPRA,2020,Idraulico,Elevato,H,Popolazione,conteggio
pop_id_M,pop_idr_p2,Popolazione a rischio in aree a pericolosità idraulica media (n. ab.),,ISPRA,2020,Idraulico,Medio,M,Popolazione,conteggio
pop_id_L,pop_idr_p1,Popolazione a rischio in aree a pericolosità idraulica bassa (n. ab.),,ISPRA,2020,Idraulico,Basso,L,Popolazione,conteggio
pop_id_H_p,popidp3_p,Popolazione a rischio in aree a pericolosità idraulica elevata (%),,ISPRA,2020,Idraulico,Elevato,H,Popolazione,percentuale
pop_id_M_p,popidp2_p,Popolazione a rischio in aree a pericolosità idraulica media (%),,ISPRA,2020,Idraulico,Medio,M,Popolazione,percentuale
pop_id_L_p,popidp1_p,Popolazione a rischio in aree a pericolosità idraulica bassa (%),,ISPRA,2020,Idraulico,Basso,L,Popolazione,percentuale
fam_id_H,fam_idr_p3,Famiglie a rischio in aree a pericolosità idraulica elevata (n.),,ISPRA,2020,Idraulico,Elevato,H,Famiglie,conteggio
fam_id_M,fam_idr_p2,Famiglie a rischio in aree a pericolosità idraulica media (n.),,ISPRA,2020,Idraulico,Medio,M,Famiglie,conteggio
fam_id_L,fam_idr_p1,Famiglie a rischio in aree a pericolosità idraulica bassa (n.),,ISPRA,2020,Idraulico,Basso,L,Famiglie,conteggio
fam_id_H_p,famidp3_p,Famiglie a rischio in aree a pericolosità idraulica elevata (%),,ISPRA,2020,Idraulico,Elevato,H,Famiglie,percentuale
fam_id_M_p,famidp2_p,Famiglie a rischio in aree a pericolosità idraulica media (%),,ISPRA,2020,Idraulico,Medio,M,Famiglie,percentuale
fam_id_L_p,famidp1_p,Famiglie a rischio in aree a pericolosità idraulica bassa (%),,ISPRA,2020,Idraulico,Basso,L,Famiglie,percentuale
edf_id_H,ed_idr_p3,Edifici a rischio in aree a pericolosità idraulica elevata (n.),,ISPRA,2020,Idraulico,Elevato,H,Edifici,conteggio
edf_id_M,ed_idr_p2,Edifici a rischio in aree a pericolosità idraulica media (n.),,ISPRA,2020,Idraulico,Medio,M,Edifici,conteggio
edf_id_L,ed_idr_p1,Edifici a rischio in aree a pericolosità idraulica bassa (n.),,ISPRA,2020,Idraulico,Basso,L,Edifici,conteggio
edf_id_H_p,edidp3_p,Edifici a rischio in aree a pericolosità idraulica elevata (%),,ISPRA,2020,Idraulico,Elevato,H,Edifici,percentuale
edf_id_M_p,edidp2_p,Edifici a rischio in aree a pericolosità idraulica media (%),,ISPRA,2020,Idraulico,Medio,M,Edifici,percentuale
edf_id_L_p,edidp1_p,Edifici a rischio in aree a pericolosità idraulica bassa (%),,ISPRA,2020,Idraulico,Basso,L,Edifici,percentuale
ulc_id_H,im_idr_p3,Unità locali d'imprese a rischio in aree a pericolosità idraulica elevata (n.),,ISPRA,2020,Idraulico,Elevato,H,Unità Locali,conteggio
ulc_id_M,im_idr_p2,Unità locali d'imprese a rischio in aree a pericolosità idraulica media (n.),,ISPRA,2020,Idraulico,Medio,M,Unità Locali,conteggio
ulc_id_L,im_idr_p1,Unità locali d'imprese a rischio in aree a pericolosità idraulica bassa (n.),,ISPRA,2020,Idraulico,Basso,L,Unità Locali,conteggio
ulc_id_H_p,imidp3_p,Unità locali d'imprese a rischio in aree a pericolosità idraulica elevata (%),,ISPRA,2020,Idraulico,Elevato,H,Unità Locali,percentuale
ulc_id_M_p,imidp2_p,Unità locali d'imprese a rischio in aree a pericolosità idraulica media (%),,ISPRA,2020,Idraulico,Medio,M,Unità Locali,percentuale
ulc_id_L_p,imidp1_p,Unità locali d'imprese a rischio in aree a pericolosità idraulica bassa (%),,ISPRA,2020,Idraulico,Basso,L,Unità Locali,percentuale
bct_id_H,bbcc_id_p3,Beni culturali a rischio in aree a pericolosità idraulica elevata (n.),,ISPRA,2020,Idraulico,Elevato,H,Beni Culturali,conteggio
bct_id_M,bbcc_id_p2,Beni culturali a rischio in aree a pericolosità idraulica media (n.),,ISPRA,2020,Idraulico,Medio,M,Beni Culturali,conteggio
bct_id_L,bbcc_id_p1,Beni culturali a rischio in aree a pericolosità idraulica bassa (n.),,ISPRA,2020,Idraulico,Basso,L,Beni Culturali,conteggio
bct_id_H_p,bbccidp3_p,Beni culturali a rischio in aree a pericolosità idraulica elevata (%),,ISPRA,2020,Idraulico,Elevato,H,Beni Culturali,percentuale
bct_id_M_p,bbccidp2_p,Beni culturali a rischio in aree a pericolosità idraulica media (%),,ISPRA,2020,Idraulico,Medio,M,Beni Culturali,percentuale
bct_id_L_p,bbccidp1_p,Beni culturali a rischio in aree a pericolosità idraulica bassa (%),,ISPRA,2020,Idraulico,Basso,L,Beni Culturali,percentuale
area_fr_P4,ar_fr_p4,Superficie delle aree a pericolosità da frana molto elevata P4 (kmq),,ISPRA,2020,Frana,Molto Elevato,P4,Superficie,conteggio
area_fr_P3,ar_fr_p3,Superficie delle aree a pericolosità da frana elevata P3 (kmq),,ISPRA,2020,Frana,Elevato,P3,Superficie,conteggio
area_fr_P2,ar_fr_p2,Superficie delle aree a pericolosità da frana media P2 (kmq),,ISPRA,2020,Frana,Medio,P2,Superficie,conteggio
